id,file,location,printed_value,precision,tier,key,printed_as_digit,why
s42_beats_c0,paper/main.tex,§4.2 BEATs Linear at c=0,0.5382,4,0,t1.rows.beats_linear.mean.0,True,
s42_eat_c0,paper/main.tex,§4.2 EAT Linear at c=0,0.5400,4,0,t1.rows.eat_linear.mean.0,True,
s42_c_mid,paper/main.tex,§4.2 probability-valued c=0.5,0.5,1,0,settings.c_mid,True,
s42_twoenc_bound,paper/main.tex,§4.2 BEATs + XLS-R boundary distance,0.026,3,0,t1.twoenc_boundary_distance,True,
s42_mindcf_pooled,paper/main.tex,§4.2 pooled minDCF at ASVspoof 5 costs,0.9994,4,0,cost.pooled_minDCF,True,
s42_mindcf_comp,paper/main.tex,§4.2 component-only (P_a) minDCF at ASVspoof 5 costs,0.5865,4,0,cost.component_minDCF,True,
s42_mindcf_resid,paper/main.tex,§4.2 minDCF residual against the weighted mean,0.19,2,0,cost.residual_minDCF,True,
s42_auc_resid,paper/main.tex,§4.2 every area residual below 1e-15,1.0,1,0,cost.residual_auc_abs_e15,False,printed as the bound 10^-15
s43_env_comp,paper/main.tex,§4.3 environmental component-only EER,0.2090,4,0,abl.env.component_only,True,
s43_speech_comp,paper/main.tex,§4.3 speech component-only EER,0.1906,4,0,abl.speech.component_only,True,
s43_env_dist,paper/main.tex,§4.3 environmental EER increase from structural zeros,0.2246,4,0,abl.env.distortion,True,
s43_speech_dist,paper/main.tex,§4.3 speech EER increase from structural zeros,0.0087,4,0,abl.speech.distortion,True,
s43_total,paper/main.tex,§4.3 reported gap,0.2343,4,0,abl.decomposition.total,True,
s43_pooling_net,paper/main.tex,"§4.3 pooling explains, of the gap",0.2159,4,0,abl.decomposition.pooling_net,True,
s43_pooling_pct,paper/main.tex,§4.3 pooling share of the gap (92%),92,0,0,abl.decomposition.pooling_pct,True,the paper prints '(92%)'; the measured share is 92.14
s44a_cross,paper/main.tex,§4.4 ranking changes from alpha_0 = 0.125 onward,0.125,3,0,acds.last_crossing,True,
s44a_cross_again,paper/main.tex,"§4.4 / Fig. 3 caption, all five intersections occur below",0.125,3,0,acds.last_crossing,True,
s44a_w0_over_wa,paper/main.tex,§4.4 the ESDD2 protocol cost w0/wa,1.138,3,0,acds.w0_over_wa,True,
s44a_span01,paper/main.tex,"§4.4 ACDS(0,1) range",0.053,3,0,acds.span_acds01,True,
s44a_span_alarm,paper/main.tex,§4.4 1 - AUC_0 range,0.706,3,0,acds.span_alarm,True,
s44a_eat_02,paper/main.tex,§4.4 EAT Linear at t_max = 0.2,0.5522,4,0,"acds.rows.eat_linear.(0,0.2)",True,
s44a_ref_02,paper/main.tex,§4.4 ESDD2 baseline at t_max = 0.2,0.6526,4,0,"acds.rows.reference.(0,0.2)",True,
s44a_n_cross,paper/main.tex,§4.4 all five environmental crossings,5,0,0,acds.n_crossings,False,spelled as a word in the paper
s45_gate_threshold,paper/main.tex,§4.5 thresholding gamma at 1/2,0.5,1,0,settings.gate_threshold,False,typeset as the fraction 1/2
s45_lam_env,paper/main.tex,"§4.5 contamination rate, environmental",0.0026,4,0,acdsg.env.lam,True,
s45_lam_sp,paper/main.tex,"§4.5 contamination rate, speech",0.0015,4,0,acdsg.speech.lam,True,
s45_eer_gated_env,paper/main.tex,"§4.5 gated EER, environmental",0.2028,4,0,acdsg.env.eer_gated,True,
s45_eer_gated_sp,paper/main.tex,"§4.5 gated EER, speech",0.1892,4,0,acdsg.speech.eer_gated,True,
s45_eer_ann_env,paper/main.tex,"§4.5 component-only EER, environmental",0.2090,4,0,acdsg.env.eer_annotated,True,
s45_eer_ann_sp,paper/main.tex,"§4.5 component-only EER, speech",0.1906,4,0,acdsg.speech.eer_annotated,True,
s45_err_gated_env,paper/main.tex,"§4.5 gated EER absolute error, environmental",0.0062,4,0,acdsg.env.err_gated_eer,True,
s45_err_gated_sp,paper/main.tex,"§4.5 gated EER absolute error, speech",0.0013,4,0,acdsg.speech.err_gated_eer,True,
s45_pooled_env,paper/main.tex,"§4.5 pooled EER, environmental",0.4336,4,0,acdsg.env.eer_pooled,True,
s45_pooled_sp,paper/main.tex,"§4.5 pooled EER, speech",0.1993,4,0,acdsg.speech.eer_pooled,True,
s45_err_pool_env,paper/main.tex,"§4.5 pooled EER error, environmental",0.2246,4,0,acdsg.env.err_pooled_eer,True,
s45_err_pool_sp,paper/main.tex,"§4.5 pooled EER error, speech",0.0087,4,0,acdsg.speech.err_pooled_eer,True,
s45_acds_err_env,paper/main.tex,"§4.5 ACDS(0,1) error under the gate, environmental",0.0050,4,0,acdsg.env.abs_error_gated,True,
s45_acds_err_sp,paper/main.tex,"§4.5 ACDS(0,1) error under the gate, speech",0.0006,4,0,acdsg.speech.abs_error_gated,True,
s45_rho_env,paper/main.tex,"§4.5 fraction of P_a excluded, environmental",0.0734,4,0,acdsg.env.rho,True,
s45_rho_sp,paper/main.tex,"§4.5 fraction of P_a excluded, speech",0.0565,4,0,acdsg.speech.rho,True,
s45_corrected_env,paper/main.tex,"§4.5 error after correcting only for contamination, environmental",0.0066,4,0,acdsg.env.abs_error_corrected,True,
